date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/b3d2cec6ac615af28f624365ce84fbef.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/b3d2cec6ac615af28f624365ce84fbef.12.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/4b861c4f9cb4e4fbec1662f6c6e9186f.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/4b861c4f9cb4e4fbec1662f6c6e9186f.13.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:10	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/748ac49ebe4bf0ddfe85c005be7c64c4.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/748ac49ebe4bf0ddfe85c005be7c64c4.14.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:10	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/64f5045e7c47202da327cadef3c611d1.woff2	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/64f5045e7c47202da327cadef3c611d1.15.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:10	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/e4308d367bcb6c91660d8618148e307d.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/e4308d367bcb6c91660d8618148e307d.16.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:11	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/92e32db984c8577d8b81548b43b9c061.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/92e32db984c8577d8b81548b43b9c061.18.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:11	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/57e5e55cf0143736ceab51ac0a9ebb54.woff2	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/57e5e55cf0143736ceab51ac0a9ebb54.19.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:12	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/32c4f766e4892c054dfd367dbe0fc6dc.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/32c4f766e4892c054dfd367dbe0fc6dc.1a.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:13	82688/82688	---M--	200	added ('OK')	font/x-woff	etag:%22faf1c42e3f83d81:0%22	http://95.214.55.189/assets/be0060dafb7a0e31d2a1ca17c0708636.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/be0060dafb7a0e31d2a1ca17c0708636.woff	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:13	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/88055567e3d928bcb1e67e967081572e.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/88055567e3d928bcb1e67e967081572e.1c.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:14	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/1cce82154216dc3cb04a84d011ce1201.woff2	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/1cce82154216dc3cb04a84d011ce1201.1d.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:14	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/746a4f241e03deffc59b08c5650cf458.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/746a4f241e03deffc59b08c5650cf458.1e.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
